972, -1610580773, A0007CDB, A, 0, 0, 0, 7, C, D, B 
973, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
974, -2147451674, 80007CE6, 8, 0, 0, 0, 7, C, E, 6 
975, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
976, 1073773809, 40007CF1, 4, 0, 0, 0, 7, C, F, 1 
977, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
978, 31994, 00007CFA, 0, 0, 0, 0, 7, C, F, A 
979, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
980, -1610580967, A0007C19, A, 0, 0, 0, 7, C, 1, 9 
981, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
982, 31774, 00007C1E, 0, 0, 0, 0, 7, C, 1, E 
983, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
984, 536902691, 20007C23, 2, 0, 0, 0, 7, C, 2, 3 
985, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
986, 536902698, 20007C2A, 2, 0, 0, 0, 7, C, 2, A 
987, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
988, -2147451823, 80007C51, 8, 0, 0, 0, 7, C, 5, 1 
989, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
990, 31816, 00007C48, 0, 0, 0, 0, 7, C, 4, 8 
991, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
992, -2147451837, 80007C43, 8, 0, 0, 0, 7, C, 4, 3 
993, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
994, 31806, 00007C3E, 0, 0, 0, 0, 7, C, 3, E 
995, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
996, -1073709829, C0007CFB, C, 0, 0, 0, 7, C, F, B 
997, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
998, -1073709836, C0007CF4, C, 0, 0, 0, 7, C, F, 4 
999, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1000, 1610644718, 60007CEE, 6, 0, 0, 0, 7, C, E, E 
1001, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1002, -1610580824, A0007CA8, A, 0, 0, 0, 7, C, A, 8 
1003, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1004, 31925, 00007CB5, 0, 0, 0, 0, 7, C, B, 5 
1005, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1006, -1610580799, A0007CC1, A, 0, 0, 0, 7, C, C, 1 
1007, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1008, 536902861, 20007CCD, 2, 0, 0, 0, 7, C, C, D 
1009, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1010, 536902670, 20007C0E, 2, 0, 0, 0, 7, C, 0, E 
1011, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1012, -536839152, E0007C10, E, 0, 0, 0, 7, C, 1, 0 
1013, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1014, -536839149, E0007C13, E, 0, 0, 0, 7, C, 1, 3 
1015, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1016, 536902680, 20007C18, 2, 0, 0, 0, 7, C, 1, 8 
1017, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1018, 1610644588, 60007C6C, 6, 0, 0, 0, 7, C, 6, C 
1019, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1020, 536902756, 20007C64, 2, 0, 0, 0, 7, C, 6, 4 
1021, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1022, -536839077, E0007C5B, E, 0, 0, 0, 7, C, 5, B 
1023, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1024, 1610644563, 60007C53, 6, 0, 0, 0, 7, C, 5, 3 
1025, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1026, 32019, 00007D13, 0, 0, 0, 0, 7, D, 1, 3 
1027, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1028, -1073709811, C0007D0D, C, 0, 0, 0, 7, D, 0, D 
1029, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1030, -2147451642, 80007D06, 8, 0, 0, 0, 7, D, 0, 6 
1031, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1032, -536838915, E0007CFD, E, 0, 0, 0, 7, C, F, D 
1033, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1034, -1073709938, C0007C8E, C, 0, 0, 0, 7, C, 8, E 
1035, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1036, -1610580842, A0007C96, A, 0, 0, 0, 7, C, 9, 6 
1037, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1038, -1610580833, A0007C9F, A, 0, 0, 0, 7, C, 9, F 
1039, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1040, -2147451733, 80007CAB, 8, 0, 0, 0, 7, C, A, B 
1041, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1042, -536839155, E0007C0D, E, 0, 0, 0, 7, C, 0, D 
1043, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1044, -536839158, E0007C0A, E, 0, 0, 0, 7, C, 0, A 
1045, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1046, -2147451894, 80007C0A, 8, 0, 0, 0, 7, C, 0, A 
1047, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1048, 536902797, 20007C8D, 2, 0, 0, 0, 7, C, 8, D 
1049, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1050, 31875, 00007C83, 0, 0, 0, 0, 7, C, 8, 3 
1051, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1052, 31866, 00007C7A, 0, 0, 0, 0, 7, C, 7, A 
1053, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1054, -1073709965, C0007C73, C, 0, 0, 0, 7, C, 7, 3 
1055, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1056, 536902929, 20007D11, 2, 0, 0, 0, 7, D, 1, 1 
1057, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1058, -2147451628, 80007D14, 8, 0, 0, 0, 7, D, 1, 4 
1059, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1060, 1073773847, 40007D17, 4, 0, 0, 0, 7, D, 1, 7 
1061, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1062, -1073709801, C0007D17, C, 0, 0, 0, 7, D, 1, 7 
1063, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1064, -1610580893, A0007C63, A, 0, 0, 0, 7, C, 6, 3 
1065, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1066, -2147451791, 80007C71, 8, 0, 0, 0, 7, C, 7, 1 
1067, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1068, -1610580866, A0007C7E, A, 0, 0, 0, 7, C, 7, E 
1069, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1070, -1610580855, A0007C89, A, 0, 0, 0, 7, C, 8, 9 
1071, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1072, 1073773601, 40007C21, 4, 0, 0, 0, 7, C, 2, 1 
1073, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1074, -536839142, E0007C1A, E, 0, 0, 0, 7, C, 1, A 
1075, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1076, -2147451882, 80007C16, 8, 0, 0, 0, 7, C, 1, 6 
1077, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1078, 1610644498, 60007C12, 6, 0, 0, 0, 7, C, 1, 2 
1079, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1080, -536839000, E0007CA8, E, 0, 0, 0, 7, C, A, 8 
1081, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1082, 1073773725, 40007C9D, 4, 0, 0, 0, 7, C, 9, D 
1083, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1084, 536902803, 20007C93, 2, 0, 0, 0, 7, C, 9, 3 
1085, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1086, 536902912, 20007D00, 2, 0, 0, 0, 7, D, 0, 0 
1087, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1088, 536902916, 20007D04, 2, 0, 0, 0, 7, D, 0, 4 
1089, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1090, 1073773831, 40007D07, 4, 0, 0, 0, 7, D, 0, 7 
1091, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1092, -1073709814, C0007D0A, C, 0, 0, 0, 7, D, 0, A 
1093, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1094, -536839114, E0007C36, E, 0, 0, 0, 7, C, 3, 6 
1095, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1096, 1073773631, 40007C3F, 4, 0, 0, 0, 7, C, 3, F 
1097, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1098, -1610580920, A0007C48, A, 0, 0, 0, 7, C, 4, 8 
1099, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1100, 1610644564, 60007C54, 6, 0, 0, 0, 7, C, 5, 4 
1101, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1102, -1073710028, C0007C34, C, 0, 0, 0, 7, C, 3, 4 
1103, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1104, 536902704, 20007C30, 2, 0, 0, 0, 7, C, 3, 0 
1105, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1106, 1073773609, 40007C29, 4, 0, 0, 0, 7, C, 2, 9 
1107, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1108, -1610580956, A0007C24, A, 0, 0, 0, 7, C, 2, 4 
1109, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1110, 31953, 00007CD1, 0, 0, 0, 0, 7, C, D, 1 
1111, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1112, 1610644677, 60007CC5, 6, 0, 0, 0, 7, C, C, 5 
1113, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1114, 31931, 00007CBB, 0, 0, 0, 0, 7, C, B, B 
1115, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1116, -1073709904, C0007CB0, C, 0, 0, 0, 7, C, B, 0 
1117, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1118, -1073709847, C0007CE9, C, 0, 0, 0, 7, C, E, 9 
1119, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1120, 1073773811, 40007CF3, 4, 0, 0, 0, 7, C, F, 3 
1121, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1122, 31995, 00007CFB, 0, 0, 0, 0, 7, C, F, B 
1123, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1124, 31775, 00007C1F, 0, 0, 0, 0, 7, C, 1, F 
1125, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1126, -536839133, E0007C23, E, 0, 0, 0, 7, C, 2, 3 
1127, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1128, 31786, 00007C2A, 0, 0, 0, 0, 7, C, 2, A 
1129, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1130, 536902706, 20007C32, 2, 0, 0, 0, 7, C, 3, 2 
1131, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1132, 1610644554, 60007C4A, 6, 0, 0, 0, 7, C, 4, A 
1133, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
1134, 1073773635, 40007C43, 4, 0, 0, 0, 7, C, 4, 3 
1135, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
