

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
537,268,8584.58496,2548,000009F4,907.05096
539,269,8616.61621,2554,000009FA,656.62152
541,270,8648.64843,2560,00000A00,895.61999
543,271,8680.68066,2565,00000A05,1502.60168
545,272,8712.71289,2570,00000A0A,1933.33654
547,273,8744.74511,2575,00000A0F,2439.38012
549,274,8776.77636,2583,00000A17,2729.69921
551,275,8808.80859,2590,00000A1E,2947.65869
553,276,8840.84082,2596,00000A24,2971.38061
555,277,8872.87304,2604,00000A2C,2921.85302
557,278,8904.90527,2610,00000A32,2675.76220
559,279,8936.93652,2616,00000A38,2385.95141
561,280,8968.96875,2622,00000A3E,1874.65209
563,281,9001.00097,2627,00000A43,1372.89636
565,282,9033.03320,2633,00000A49,922.34136
567,283,9065.06542,2638,00000A4E,690.01794
569,284,9097.09667,2644,00000A54,990.82452
571,285,9129.12890,2650,00000A5A,1489.15185
573,286,9161.16113,2657,00000A61,1944.66442
575,287,9193.19335,2661,00000A65,2391.95800
577,288,9225.22558,2665,00000A69,2719.70776
579,289,9257.25683,2670,00000A6E,2878.00756
581,290,9289.28906,2675,00000A73,2952.27221
583,291,9321.32128,2680,00000A78,2845.23266
585,292,9353.35351,2684,00000A7C,2638.22387
587,293,9385.38574,2687,00000A7F,2342.10986
589,294,9417.41699,2688,00000A80,1857.14282
591,295,9449.44921,2690,00000A82,1386.66784
593,296,9481.48144,2692,00000A84,914.50408
595,297,9513.51367,2695,00000A87,728.06549
597,298,9545.54589,2697,00000A89,1019.99865
599,299,9577.57714,2699,00000A8B,1459.04235
601,300,9609.60937,2701,00000A8D,1945.29992
603,301,9641.64160,2702,00000A8E,2352.10351
605,302,9673.67382,2702,00000A8E,2658.48706
607,303,9705.70605,2701,00000A8D,2885.23876
609,304,9737.73730,2701,00000A8D,2932.44531
611,305,9769.76953,2701,00000A8D,2801.71240
613,306,9801.80175,2700,00000A8C,2614.16479
615,307,9833.83398,2699,00000A8B,2327.06030
617,308,9865.86621,2697,00000A89,1812.59167
619,309,9897.89746,2695,00000A87,1389.67614
621,310,9929.92968,2694,00000A86,915.92736
623,311,9961.96191,2691,00000A83,760.14758
625,312,9993.99414,2688,00000A80,1035.80468
627,313,10026.02636,2688,00000A80,1469.47912
629,314,10058.05761,2686,00000A7E,1983.20532
631,315,10090.08984,2684,00000A7C,2367.27978
633,316,10122.12207,2681,00000A79,2663.32788
635,317,10154.15429,2679,00000A77,2816.29443
637,318,10186.18652,2679,00000A77,2871.19458
639,319,10218.21777,2678,00000A76,2801.86694
641,320,10250.25000,2676,00000A74,2575.72656
643,321,10282.28222,2675,00000A73,2239.29125
645,322,10314.31445,2673,00000A71,1824.66357
647,323,10346.34667,2671,00000A6F,1380.92028
649,324,10378.37792,2669,00000A6D,936.45410
651,325,10410.41015,2668,00000A6C,786.55419
653,326,10442.44238,2668,00000A6C,1062.55163
655,327,10474.47460,2668,00000A6C,1523.31909
657,328,10506.50683,2669,00000A6D,1954.44848
659,329,10538.53808,2669,00000A6D,2346.49072
661,330,10570.57031,2669,00000A6D,2623.86743
663,331,10602.60253,2671,00000A6F,2814.70263
665,332,10634.63476,2672,00000A70,2846.69775
667,333,10666.66699,2672,00000A70,2780.97094
669,334,10698.69824,2674,00000A72,2545.89868
671,335,10730.73046,2677,00000A75,2212.22875
673,336,10762.76269,2679,00000A77,1808.82177
675,337,10794.79492,2680,00000A78,1335.48083
677,338,10826.82714,2683,00000A7B,982.69488
679,339,10858.85839,2687,00000A7F,811.50787
681,340,10890.89062,2690,00000A82,1081.23376
683,341,10922.92285,2695,00000A87,1527.39160
685,342,10954.95507,2700,00000A8C,1976.11071
687,343,10986.98730,2705,00000A91,2321.81909
689,344,11019.01855,2710,00000A96,2614.63842
691,345,11051.05078,2715,00000A9B,2796.76049
693,346,11083.08300,2720,00000AA0,2844.58618
695,347,11115.11523,2725,00000AA5,2722.82373
697,348,11147.14746,2730,00000AAA,2518.95898
699,349,11179.17871,2736,00000AB0,2210.87158
701,350,11211.21093,2743,00000AB7,1810.82519
703,351,11243.24316,2750,00000ABE,1339.72204
705,352,11275.27539,2756,00000AC4,940.59722
707,353,11307.30761,2762,00000ACA,863.28521
709,354,11339.33886,2767,00000ACF,1111.22241
711,355,11371.37109,2772,00000AD4,1556.32788
713,356,11403.40332,2778,00000ADA,1981.49597
715,357,11435.43554,2784,00000AE0,2336.74609
717,358,11467.46777,2791,00000AE7,2625.81250
719,359,11499.49902,2796,00000AEC,2749.21728
721,360,11531.53125,2800,00000AF0,2821.79345
723,361,11563.56347,2805,00000AF5,2702.00268
725,362,11595.59570,2809,00000AF9,2480.28857
727,363,11627.62792,2814,00000AFE,2169.67309
729,364,11659.65917,2817,00000B01,1784.82226
731,365,11691.69140,2820,00000B04,1323.66760
733,366,11723.72363,2824,00000B08,975.04211
735,367,11755.75585,2826,00000B0A,863.75488
737,368,11787.78808,2830,00000B0E,1125.50354
739,369,11819.81933,2833,00000B11,1544.41564
741,370,11851.85156,2835,00000B13,1964.81591
743,371,11883.88378,2837,00000B15,2346.78393
745,372,11915.91601,2838,00000B16,2627.89306
747,373,11947.94824,2839,00000B17,2758.64843
749,374,11979.97949,2839,00000B17,2781.62084
751,375,12012.01171,2840,00000B18,2701.27978
753,376,12044.04394,2840,00000B18,2473.29687
755,377,12076.07617,2839,00000B17,2159.08105
757,378,12108.10839,2838,00000B16,1752.80590
759,379,12140.14062,2837,00000B15,1331.36853
761,380,12172.17187,2836,00000B14,980.86602
763,381,12204.20410,2834,00000B12,893.69653
765,382,12236.23632,2831,00000B0F,1157.85766
767,383,12268.26855,2830,00000B0E,1567.84411
769,384,12300.30078,2827,00000B0B,1957.96142
771,385,12332.33203,2826,00000B0A,2336.47583
773,386,12364.36425,2825,00000B09,2590.85302
775,387,12396.39648,2823,00000B07,2754.99560
777,388,12428.42871,2819,00000B03,2771.19409
779,389,12460.46093,2817,00000B01,2694.27539
781,390,12492.49218,2815,00000AFF,2438.47680
783,391,12524.52441,2814,00000AFE,2131.56640
785,392,12556.55664,2812,00000AFC,1744.12207
787,393,12588.58886,2810,00000AFA,1345.64465
789,394,12620.62109,2809,00000AF9,970.92095
791,395,12652.65234,2808,00000AF8,925.73388
793,396,12684.68457,2805,00000AF5,1175.74462
795,397,12716.71679,2803,00000AF3,1570.75830
797,398,12748.74902,2801,00000AF1,1972.36450
799,399,12780.78125,2802,00000AF2,2314.02172
801,400,12812.81250,2802,00000AF2,2578.81567
803,401,12844.84472,2802,00000AF2,2734.94677
805,402,12876.87695,2802,00000AF2,2746.01147
807,403,12908.90917,2801,00000AF1,2648.39746
809,404,12940.94140,2802,00000AF2,2437.46118
811,405,12972.97265,2802,00000AF2,2148.28271
813,406,13005.00488,2802,00000AF2,1719.51562
815,407,13037.03710,2804,00000AF4,1310.72509
817,408,13069.06933,2806,00000AF6,966.77996
819,409,13101.10156,2808,00000AF8,924.39135
821,410,13133.13281,2812,00000AFC,1189.35498
823,411,13165.16503,2815,00000AFF,1574.10388
825,412,13197.19726,2816,00000B00,1980.01757
827,413,13229.22949,2820,00000B04,2319.32568
829,414,13261.26171,2824,00000B08,2564.63891
831,415,13293.29296,2828,00000B0C,2717.80712
833,416,13325.32519,2833,00000B11,2739.30957
835,417,13357.35742,2837,00000B15,2653.45166
837,418,13389.38964,2840,00000B18,2435.50073
839,419,13421.42187,2845,00000B1D,2092.28027
841,420,13453.45312,2851,00000B23,1714.41601
843,421,13485.48535,2857,00000B29,1308.19018
845,422,13517.51757,2865,00000B31,992.16003
847,423,13549.54980,2870,00000B36,927.28338
849,424,13581.58203,2876,00000B3C,1188.24267
851,425,13613.61328,2882,00000B42,1599.02062
853,426,13645.64550,2887,00000B47,1995.04443
855,427,13677.67773,2889,00000B49,2333.67236
857,428,13709.70996,2893,00000B4D,2571.64672
859,429,13741.74218,2900,00000B54,2729.36279
861,430,13773.77343,2906,00000B5A,2729.93896
863,431,13805.80566,2913,00000B61,2631.29052
