

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
467,233,7463.46337,-1583,FFFFF9D1,1529.62695
469,234,7495.49560,-1590,FFFFF9CA,1547.06896
471,235,7527.52734,-1594,FFFFF9C6,1512.00756
473,236,7559.55957,-1598,FFFFF9C2,1477.12121
475,237,7591.59179,-1602,FFFFF9BE,1474.62365
477,238,7623.62353,-1606,FFFFF9BA,1495.31079
479,239,7655.65576,-1610,FFFFF9B6,1538.14013
481,240,7687.68750,-1613,FFFFF9B3,1541.01977
483,241,7719.71972,-1615,FFFFF9B1,1533.58068
485,242,7751.75195,-1617,FFFFF9AF,1501.12158
487,243,7783.78369,-1618,FFFFF9AE,1461.05114
489,244,7815.81591,-1619,FFFFF9AD,1450.32592
491,245,7847.84765,-1621,FFFFF9AB,1514.14318
493,246,7879.87988,-1622,FFFFF9AA,1502.13269
495,247,7911.91210,-1622,FFFFF9AA,1522.20581
497,248,7943.94384,-1622,FFFFF9AA,1548.18530
499,249,7975.97607,-1621,FFFFF9AB,1485.62609
501,250,8008.00781,-1617,FFFFF9AF,1462.64331
503,251,8040.04003,-1613,FFFFF9B3,1466.67810
505,252,8072.07226,-1608,FFFFF9B8,1485.18518
507,253,8104.10400,-1604,FFFFF9BC,1523.51452
509,254,8136.13623,-1600,FFFFF9C0,1512.58703
511,255,8168.16796,-1595,FFFFF9C5,1510.54418
513,256,8200.20019,-1589,FFFFF9CB,1491.82910
515,257,8232.23242,-1582,FFFFF9D2,1486.78088
517,258,8264.26464,-1575,FFFFF9D9,1471.18066
519,259,8296.29589,-1568,FFFFF9E0,1503.90747
521,260,8328.32812,-1561,FFFFF9E7,1525.81530
523,261,8360.36035,-1555,FFFFF9ED,1542.60522
525,262,8392.39257,-1547,FFFFF9F5,1532.83288
527,263,8424.42480,-1539,FFFFF9FD,1485.68945
529,264,8456.45605,-1532,FFFFFA04,1477.57275
531,265,8488.48828,-1527,FFFFFA09,1468.86645
533,266,8520.52050,-1522,FFFFFA0E,1489.14770
535,267,8552.55273,-1516,FFFFFA14,1505.82507
537,268,8584.58496,-1510,FFFFFA1A,1539.76269
539,269,8616.61621,-1505,FFFFFA1F,1532.12670
541,270,8648.64843,-1498,FFFFFA26,1508.72692
543,271,8680.68066,-1491,FFFFFA2D,1474.74035
545,272,8712.71289,-1485,FFFFFA33,1473.50256
547,273,8744.74511,-1481,FFFFFA37,1485.89611
549,274,8776.77636,-1478,FFFFFA3A,1531.97033
551,275,8808.80859,-1476,FFFFFA3C,1526.45690
553,276,8840.84082,-1474,FFFFFA3E,1494.24157
555,277,8872.87304,-1472,FFFFFA40,1510.65600
557,278,8904.90527,-1470,FFFFFA42,1464.97985
559,279,8936.93652,-1469,FFFFFA43,1476.26953
561,280,8968.96875,-1468,FFFFFA44,1493.67382
563,281,9001.00097,-1468,FFFFFA44,1518.30749
565,282,9033.03320,-1466,FFFFFA46,1524.11657
567,283,9065.06542,-1465,FFFFFA47,1520.59301
569,284,9097.09667,-1466,FFFFFA46,1500.48889
571,285,9129.12890,-1468,FFFFFA44,1468.78955
573,286,9161.16113,-1472,FFFFFA40,1476.96032
575,287,9193.19335,-1477,FFFFFA3B,1463.12268
577,288,9225.22558,-1484,FFFFFA34,1521.43176
579,289,9257.25683,-1492,FFFFFA2C,1556.65319
581,290,9289.28906,-1497,FFFFFA27,1521.98010
583,291,9321.32128,-1501,FFFFFA23,1505.05065
585,292,9353.35351,-1507,FFFFFA1D,1494.67492
587,293,9385.38574,-1513,FFFFFA17,1468.35913
589,294,9417.41699,-1519,FFFFFA11,1488.82226
591,295,9449.44921,-1526,FFFFFA0A,1510.06518
593,296,9481.48144,-1530,FFFFFA06,1516.79089
595,297,9513.51367,-1536,FFFFFA00,1528.65917
597,298,9545.54589,-1543,FFFFF9F9,1511.87097
599,299,9577.57714,-1549,FFFFF9F3,1480.53503
601,300,9609.60937,-1556,FFFFF9EC,1483.87634
603,301,9641.64160,-1563,FFFFF9E5,1497.70214
605,302,9673.67382,-1568,FFFFF9E0,1542.83154
607,303,9705.70605,-1572,FFFFF9DC,1524.21887
609,304,9737.73730,-1575,FFFFF9D9,1558.96862
611,305,9769.76953,-1579,FFFFF9D5,1490.71557
613,306,9801.80175,-1585,FFFFF9CF,1488.69592
615,307,9833.83398,-1591,FFFFF9C9,1498.00878
617,308,9865.86621,-1596,FFFFF9C4,1492.16149
619,309,9897.89746,-1600,FFFFF9C0,1532.46765
621,310,9929.92968,-1603,FFFFF9BD,1521.85498
623,311,9961.96191,-1606,FFFFF9BA,1523.66674
625,312,9993.99414,-1609,FFFFF9B7,1509.87780
627,313,10026.02636,-1611,FFFFF9B5,1472.29919
629,314,10058.05761,-1613,FFFFF9B3,1458.85620
631,315,10090.08984,-1614,FFFFF9B2,1506.53820
633,316,10122.12207,-1613,FFFFF9B3,1519.70898
635,317,10154.15429,-1614,FFFFF9B2,1543.31237
637,318,10186.18652,-1614,FFFFF9B2,1539.88537
639,319,10218.21777,-1616,FFFFF9B0,1516.01538
641,320,10250.25000,-1617,FFFFF9AF,1475.22753
643,321,10282.28222,-1617,FFFFF9AF,1468.59619
645,322,10314.31445,-1613,FFFFF9B3,1467.27014
647,323,10346.34667,-1608,FFFFF9B8,1520.34619
649,324,10378.37792,-1603,FFFFF9BD,1529.15783
651,325,10410.41015,-1598,FFFFF9C2,1538.50158
653,326,10442.44238,-1593,FFFFF9C7,1518.85766
655,327,10474.47460,-1589,FFFFF9CB,1490.67297
657,328,10506.50683,-1586,FFFFF9CE,1482.44165
659,329,10538.53808,-1581,FFFFF9D3,1480.07128
661,330,10570.57031,-1576,FFFFF9D8,1511.20263
663,331,10602.60253,-1569,FFFFF9DF,1532.78430
665,332,10634.63476,-1563,FFFFF9E5,1526.32763
667,333,10666.66699,-1556,FFFFF9EC,1500.62487
669,334,10698.69824,-1549,FFFFF9F3,1470.94311
671,335,10730.73046,-1541,FFFFF9FB,1488.57495
673,336,10762.76269,-1533,FFFFFA03,1506.65380
675,337,10794.79492,-1525,FFFFFA0B,1534.44421
677,338,10826.82714,-1519,FFFFFA11,1516.36486
679,339,10858.85839,-1515,FFFFFA15,1520.48303
681,340,10890.89062,-1509,FFFFFA1B,1507.40295
683,341,10922.92285,-1503,FFFFFA21,1483.62304
685,342,10954.95507,-1499,FFFFFA25,1498.78527
687,343,10986.98730,-1492,FFFFFA2C,1494.74841
689,344,11019.01855,-1485,FFFFFA33,1510.02624
691,345,11051.05078,-1479,FFFFFA39,1523.30444
693,346,11083.08300,-1475,FFFFFA3D,1531.69970
695,347,11115.11523,-1472,FFFFFA40,1517.69079
697,348,11147.14746,-1469,FFFFFA43,1498.90148
699,349,11179.17871,-1467,FFFFFA45,1483.60717
701,350,11211.21093,-1466,FFFFFA46,1478.95031
703,351,11243.24316,-1465,FFFFFA47,1530.83154
705,352,11275.27539,-1466,FFFFFA46,1527.77709
707,353,11307.30761,-1466,FFFFFA46,1529.63806
709,354,11339.33886,-1465,FFFFFA47,1522.07946
711,355,11371.37109,-1464,FFFFFA48,1486.74597
713,356,11403.40332,-1462,FFFFFA4A,1490.52929
715,357,11435.43554,-1461,FFFFFA4B,1488.40075
717,358,11467.46777,-1463,FFFFFA49,1513.77819
719,359,11499.49902,-1468,FFFFFA44,1535.50646
721,360,11531.53125,-1473,FFFFFA3F,1525.18530
723,361,11563.56347,-1480,FFFFFA38,1503.47558
725,362,11595.59570,-1486,FFFFFA32,1497.45263
727,363,11627.62792,-1491,FFFFFA2D,1492.82360
729,364,11659.65917,-1496,FFFFFA28,1478.96911
731,365,11691.69140,-1500,FFFFFA24,1513.77294
733,366,11723.72363,-1506,FFFFFA1E,1532.48547
735,367,11755.75585,-1512,FFFFFA18,1529.84826
737,368,11787.78808,-1518,FFFFFA12,1498.53417
739,369,11819.81933,-1525,FFFFFA0B,1486.17272
741,370,11851.85156,-1531,FFFFFA05,1476.26391
743,371,11883.88378,-1540,FFFFF9FC,1505.79199
745,372,11915.91601,-1547,FFFFF9F5,1523.65856
747,373,11947.94824,-1553,FFFFF9EF,1549.73486
749,374,11979.97949,-1561,FFFFF9E7,1517.38916
751,375,12012.01171,-1566,FFFFF9E2,1505.92871
753,376,12044.04394,-1570,FFFFF9DE,1491.94555
755,377,12076.07617,-1572,FFFFF9DC,1478.19323
757,378,12108.10839,-1576,FFFFF9D8,1479.92492
759,379,12140.14062,-1580,FFFFF9D4,1517.53454
761,380,12172.17187,-1586,FFFFF9CE,1524.40270
763,381,12204.20410,-1592,FFFFF9C8,1507.17761
765,382,12236.23632,-1598,FFFFF9C2,1498.48559
767,383,12268.26855,-1603,FFFFF9BD,1481.75439
769,384,12300.30078,-1606,FFFFF9BA,1482.12744
771,385,12332.33203,-1608,FFFFF9B8,1503.17687
773,386,12364.36425,-1611,FFFFF9B5,1519.63427
775,387,12396.39648,-1613,FFFFF9B3,1518.33642
777,388,12428.42871,-1614,FFFFF9B2,1535.16491
779,389,12460.46093,-1615,FFFFF9B1,1493.71118
781,390,12492.49218,-1616,FFFFF9B0,1495.48510
783,391,12524.52441,-1617,FFFFF9AF,1492.77722
785,392,12556.55664,-1617,FFFFF9AF,1482.20397
787,393,12588.58886,-1618,FFFFF9AE,1519.78393
789,394,12620.62109,-1618,FFFFF9AE,1538.74731
791,395,12652.65234,-1616,FFFFF9B0,1513.83081
793,396,12684.68457,-1613,FFFFF9B3,1515.89489
795,397,12716.71679,-1609,FFFFF9B7,1479.10180
797,398,12748.74902,-1604,FFFFF9BC,1493.07177
799,399,12780.78125,-1598,FFFFF9C2,1481.64672
801,400,12812.81250,-1593,FFFFF9C7,1524.31323
803,401,12844.84472,-1589,FFFFF9CB,1532.78649
805,402,12876.87695,-1583,FFFFF9D1,1520.54589
807,403,12908.90917,-1577,FFFFF9D7,1496.06176
809,404,12940.94140,-1571,FFFFF9DD,1496.42492
811,405,12972.97265,-1564,FFFFF9E4,1483.40979
813,406,13005.00488,-1558,FFFFF9EA,1508.96020
815,407,13037.03710,-1552,FFFFF9F0,1515.66625
817,408,13069.06933,-1544,FFFFF9F8,1537.00988
819,409,13101.10156,-1536,FFFFFA00,1523.43591
821,410,13133.13281,-1528,FFFFFA08,1497.30859
