632,40007C91,1073773713, 1F244000,522469376,4
633,0,0,0,0,0
634,40007C91,1073773713, 1F244000,522469376,4
635,0,0,0,0,0
636,A0007C91,-1610580847, 1F244000,522469376, 0000000A
637,0,0,0,0,0
638,A0007C91,-1610580847, 1F244000,522469376, 0000000A
639,0,0,0,0,0
640,60007C91,1610644625, 1F244000,522469376,6
641,0,0,0,0,0
642,80007C91,-2147451759, 1F244000,522469376,8
643,0,0,0,0,0
644,80007C91,-2147451759, 1F244000,522469376,8
645,0,0,0,0,0
646,C0007C93,-1073709933, 1F24C000,522502144, 0000000C
647,0,0,0,0,0
648,00007C93,31891, 1F24C000,522502144,0
649,0,0,0,0,0
650,00007C93,31891, 1F24C000,522502144,0
651,0,0,0,0,0
652,C0007C93,-1073709933, 1F24C000,522502144, 0000000C
653,0,0,0,0,0
654,E0007C93,-536839021, 1F24C000,522502144, 0000000E
655,0,0,0,0,0
656,40007C93,1073773715, 1F24C000,522502144,4
657,0,0,0,0,0
658,20007C93,536902803, 1F24C000,522502144,2
659,0,0,0,0,0
660,20007C93,536902803, 1F24C000,522502144,2
661,0,0,0,0,0
662,A0007C92,-1610580846, 1F248000,522485760, 0000000A
663,0,0,0,0,0
664,E0007C91,-536839023, 1F244000,522469376, 0000000E
665,0,0,0,0,0
666,E0007C91,-536839023, 1F244000,522469376, 0000000E
667,0,0,0,0,0
668,C0007C8E,-1073709938, 1F238000,522420224, 0000000C
669,0,0,0,0,0
670,A0007C8D,-1610580851, 1F234000,522403840, 0000000A
671,0,0,0,0,0
672,80007C8C,-2147451764, 1F230000,522387456,8
673,0,0,0,0,0
674,20007C8C,536902796, 1F230000,522387456,2
675,0,0,0,0,0
676,60007C8F,1610644623, 1F23C000,522436608,6
677,0,0,0,0,0
678,E0007C8E,-536839026, 1F238000,522420224, 0000000E
679,0,0,0,0,0
680,80007C8E,-2147451762, 1F238000,522420224,8
681,0,0,0,0,0
682,80007C8E,-2147451762, 1F238000,522420224,8
683,0,0,0,0,0
684,E0007C8A,-536839030, 1F228000,522354688, 0000000E
