

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
365,182,11671.34277,-1467,FFFFFA45,1522.40454
367,183,11735.47070,-1462,FFFFFA4A,1442.17749
369,184,11799.59960,-1458,FFFFFA4E,1529.11621
371,185,11863.72753,-1456,FFFFFA50,1588.29504
373,186,11927.85546,-1453,FFFFFA53,1476.19104
375,187,11991.98437,-1449,FFFFFA57,1477.81127
377,188,12056.11230,-1448,FFFFFA58,1592.21862
379,189,12120.24023,-1447,FFFFFA59,1532.20227
381,190,12184.36914,-1447,FFFFFA59,1449.02441
383,191,12248.49707,-1447,FFFFFA59,1538.18103
385,192,12312.62500,-1449,FFFFFA57,1582.84777
387,193,12376.75390,-1453,FFFFFA53,1462.60363
389,194,12440.88183,-1458,FFFFFA4E,1490.51379
391,195,12505.00976,-1463,FFFFFA49,1587.28881
393,196,12569.13867,-1468,FFFFFA44,1534.93640
395,197,12633.26660,-1472,FFFFFA40,1441.89147
397,198,12697.39453,-1477,FFFFFA3B,1544.34167
399,199,12761.52343,-1484,FFFFFA34,1575.22973
401,200,12825.65136,-1492,FFFFFA2C,1473.29638
403,201,12889.77929,-1500,FFFFFA24,1472.58569
405,202,12953.90820,-1508,FFFFFA1C,1584.34997
407,203,13018.03613,-1516,FFFFFA14,1534.97436
409,204,13082.16406,-1524,FFFFFA0C,1446.29382
411,205,13146.29296,-1532,FFFFFA04,1534.06530
413,206,13210.42089,-1541,FFFFF9FB,1584.46533
415,207,13274.54882,-1549,FFFFF9F3,1477.10034
417,208,13338.67773,-1556,FFFFF9EC,1483.28674
419,209,13402.80566,-1563,FFFFF9E5,1584.75964
421,210,13466.93359,-1570,FFFFF9DE,1527.23205
423,211,13531.06250,-1576,FFFFF9D8,1447.94311
425,212,13595.19042,-1582,FFFFF9D2,1544.23486
427,213,13659.31835,-1589,FFFFF9CB,1586.80761
429,214,13723.44726,-1595,FFFFF9C5,1472.28698
431,215,13787.57519,-1601,FFFFF9BF,1475.64794
433,216,13851.70312,-1606,FFFFF9BA,1578.78991
435,217,13915.83203,-1610,FFFFF9B6,1532.36999
437,218,13979.95996,-1614,FFFFF9B2,1452.33093
439,219,14044.08789,-1617,FFFFF9AF,1537.87438
441,220,14108.21679,-1620,FFFFF9AC,1572.84472
443,221,14172.34472,-1624,FFFFF9A8,1474.19360
445,222,14236.47265,-1627,FFFFF9A5,1473.01452
447,223,14300.60156,-1628,FFFFF9A4,1579.54895
449,224,14364.72949,-1630,FFFFF9A2,1529.47290
451,225,14428.85742,-1631,FFFFF9A1,1453.51147
453,226,14492.98632,-1632,FFFFF9A0,1547.90881
455,227,14557.11425,-1633,FFFFF99F,1579.44482
457,228,14621.24218,-1633,FFFFF99F,1479.08410
459,229,14685.37109,-1632,FFFFF9A0,1479.94799
461,230,14749.49902,-1628,FFFFF9A4,1574.58117
463,231,14813.62695,-1625,FFFFF9A7,1531.03601
465,232,14877.75585,-1622,FFFFF9AA,1454.35595
467,233,14941.88378,-1617,FFFFF9AF,1533.72851
469,234,15006.01171,-1612,FFFFF9B4,1577.85253
