626,32027, 00007D1B,0,0,0,0,7, D,1, B 
628,1610644754, 60007D12,6,0,0,0,7, D,1,2
630,-2147451641, 80007D07,8,0,0,0,7, D,0,7
632,31942, 00007CC6,0,0,0,0,7, C, C,6
634,536902867, 20007CD3,2,0,0,0,7, C, D,3
636,536902881, 20007CE1,2,0,0,0,7, C, E,1
638,1610644723, 60007CF3,6,0,0,0,7, C, F,3
640,1073773830, 40007D06,4,0,0,0,7, D,0,6
642,-1073709803, C0007D15, C,0,0,0,7, D,1,5
644,1073773857, 40007D21,4,0,0,0,7, D,2,1
646,1610644473, 60007BF9,6,0,0,0,7, B, F,9
648,-536839169, E0007BFF, E,0,0,0,7, B, F, F 
650,-1610580985, A0007C07, A,0,0,0,7, C,0,7
652,536902674, 20007C12,2,0,0,0,7, C,1,2
654,-2147451876, 80007C1C,8,0,0,0,7, C,1, C 
656,536902694, 20007C26,2,0,0,0,7, C,2,6
658,536902706, 20007C32,2,0,0,0,7, C,3,2
660,-1073710056, C0007C18, C,0,0,0,7, C,1,8
662,31760, 00007C10,0,0,0,0,7, C,1,0
664,31751, 00007C07,0,0,0,0,7, C,0,7
666,536902654, 20007BFE,2,0,0,0,7, B, F, E 
668,31734, 00007BF6,0,0,0,0,7, B, F,6
670,-1073710097, C0007BEF, C,0,0,0,7, B, E, F 
672,-2147451927, 80007BE9,8,0,0,0,7, B, E,9
674,31965, 00007CDD,0,0,0,0,7, C, D, D 
676,31952, 00007CD0,0,0,0,0,7, C, D,0
678,1610644671, 60007CBF,6,0,0,0,7, C, B, F 
680,536902830, 20007CAE,2,0,0,0,7, C, A, E 
682,1073773726, 40007C9E,4,0,0,0,7, C,9, E 
684,-2147451759, 80007C91,8,0,0,0,7, C,9,1
686,-1073709945, C0007C87, C,0,0,0,7, C,8,7
688,-1073709769, C0007D37, C,0,0,0,7, D,3,7
690,-1610580675, A0007D3D, A,0,0,0,7, D,3, D 
692,32067, 00007D43,0,0,0,0,7, D,4,3
694,-1610580665, A0007D47, A,0,0,0,7, D,4,7
696,1073773899, 40007D4B,4,0,0,0,7, D,4, B 
698,1610644812, 60007D4C,6,0,0,0,7, D,4, C 
700,-1610580663, A0007D49, A,0,0,0,7, D,4,9
702,-1610580671, A0007D41, A,0,0,0,7, D,4,1
704,-2147451781, 80007C7B,8,0,0,0,7, C,7, B 
706,-2147451770, 80007C86,8,0,0,0,7, C,8,6
708,-536839024, E0007C90, E,0,0,0,7, C,9,0
710,-1610580836, A0007C9C, A,0,0,0,7, C,9, C 
712,31915, 00007CAB,0,0,0,0,7, C, A, B 
714,-536838983, E0007CB9, E,0,0,0,7, C, B,9
716,-2147451704, 80007CC8,8,0,0,0,7, C, C,8
718,-2147451942, 80007BDA,8,0,0,0,7, B, D, A 
720,-536839205, E0007BDB, E,0,0,0,7, B, D, B 
722,-2147451935, 80007BE1,8,0,0,0,7, B, E,1
724,-1610581017, A0007BE7, A,0,0,0,7, B, E,7
726,536902640, 20007BF0,2,0,0,0,7, B, F,0
728,-1610581000, A0007BF8, A,0,0,0,7, B, F,8
730,-2147451907, 80007BFD,8,0,0,0,7, B, F, D 
732,-1073709987, C0007C5D, C,0,0,0,7, C,5, D 
734,-2147451823, 80007C51,8,0,0,0,7, C,5,1
736,-2147451836, 80007C44,8,0,0,0,7, C,4,4
738,-1610580935, A0007C39, A,0,0,0,7, C,3,9
740,-1073710033, C0007C2F, C,0,0,0,7, C,2, F 
742,1073773604, 40007C24,4,0,0,0,7, C,2,4
744,1073773594, 40007C1A,4,0,0,0,7, C,1, A 
746,-2147451617, 80007D1F,8,0,0,0,7, D,1, F 
748,536902935, 20007D17,2,0,0,0,7, D,1,7
750,536902925, 20007D0D,2,0,0,0,7, D,0, D 
752,536902914, 20007D02,2,0,0,0,7, D,0,2
754,536902901, 20007CF5,2,0,0,0,7, C, F,5
756,-536838938, E0007CE6, E,0,0,0,7, C, E,6
758,-1610580775, A0007CD9, A,0,0,0,7, C, D,9
760,-1610580746, A0007CF6, A,0,0,0,7, C, F,6
762,-1610580729, A0007D07, A,0,0,0,7, D,0,7
764,536902934, 20007D16,2,0,0,0,7, D,1,6
766,32031, 00007D1F,0,0,0,0,7, D,1, F 
768,-536838874, E0007D26, E,0,0,0,7, D,2,6
770,536902959, 20007D2F,2,0,0,0,7, D,2, F 
772,32053, 00007D35,0,0,0,0,7, D,3,5
774,-2147451883, 80007C15,8,0,0,0,7, C,1,5
776,536902687, 20007C1F,2,0,0,0,7, C,1, F 
778,1610644521, 60007C29,6,0,0,0,7, C,2,9
780,-2147451850, 80007C36,8,0,0,0,7, C,3,6
782,1610644551, 60007C47,6,0,0,0,7, C,4,7
784,-2147451814, 80007C5A,8,0,0,0,7, C,5, A 
786,31852, 00007C6C,0,0,0,0,7, C,6, C 
788,1073773565, 40007BFD,4,0,0,0,7, B, F, D 
790,-536839180, E0007BF4, E,0,0,0,7, B, F,4
792,536902636, 20007BEC,2,0,0,0,7, B, E, C 
794,536902631, 20007BE7,2,0,0,0,7, B, E,7
796,1073773539, 40007BE3,4,0,0,0,7, B, E,3
798,1610644445, 60007BDD,6,0,0,0,7, B, D, D 
800,536902618, 20007BDA,2,0,0,0,7, B, D, A 
802,1073773735, 40007CA7,4,0,0,0,7, C, A,7
804,1610644633, 60007C99,6,0,0,0,7, C,9,9
806,1073773710, 40007C8E,4,0,0,0,7, C,8, E 
808,1610644611, 60007C83,6,0,0,0,7, C,8,3
810,-1610580871, A0007C79, A,0,0,0,7, C,7,9
812,-1073709968, C0007C70, C,0,0,0,7, C,7,0
814,536902757, 20007C65,2,0,0,0,7, C,6,5
816,536902986, 20007D4A,2,0,0,0,7, D,4, A 
818,-1073709748, C0007D4C, C,0,0,0,7, D,4, C 
820,32077, 00007D4D,0,0,0,0,7, D,4, D 
822,-1610580664, A0007D48, A,0,0,0,7, D,4,8
824,536902975, 20007D3F,2,0,0,0,7, D,3, F 
826,1610644786, 60007D32,6,0,0,0,7, D,3,2
828,32039, 00007D27,0,0,0,0,7, D,2,7
830,1073773854, 40007D1E,4,0,0,0,7, D,1, E 
832,-536839009, E0007C9F, E,0,0,0,7, C,9, F 
834,-1610580818, A0007CAE, A,0,0,0,7, C, A, E 
836,-1610580802, A0007CBE, A,0,0,0,7, C, B, E 
838,-536838964, E0007CCC, E,0,0,0,7, C, C, C 
840,1610644699, 60007CDB,6,0,0,0,7, C, D, B 
842,536902891, 20007CEB,2,0,0,0,7, C, E, B 
844,-2147451653, 80007CFB,8,0,0,0,7, C, F, B 
846,1610644456, 60007BE8,6,0,0,0,7, B, E,8
848,-536839184, E0007BF0, E,0,0,0,7, B, F,0
850,-536839178, E0007BF6, E,0,0,0,7, B, F,6
852,536902652, 20007BFC,2,0,0,0,7, B, F, C 
854,1610644483, 60007C03,6,0,0,0,7, C,0,3
856,536902667, 20007C0B,2,0,0,0,7, C,0, B 
858,-2147451883, 80007C15,8,0,0,0,7, C,1,5
860,-536839116, E0007C34, E,0,0,0,7, C,3,4
862,1073773605, 40007C25,4,0,0,0,7, C,2,5
864,31772, 00007C1C,0,0,0,0,7, C,1, C 
866,1073773589, 40007C15,4,0,0,0,7, C,1,5
868,-1073710069, C0007C0B, C,0,0,0,7, C,0, B 
870,-1610580989, A0007C03, A,0,0,0,7, C,0,3
872,536902653, 20007BFD,2,0,0,0,7, B, F, D 
874,-1610580739, A0007CFD, A,0,0,0,7, C, F, D 
876,-2147451665, 80007CEF,8,0,0,0,7, C, E, F 
878,-536838942, E0007CE2, E,0,0,0,7, C, E,2
880,-1610580779, A0007CD5, A,0,0,0,7, C, D,5
882,-1073709883, C0007CC5, C,0,0,0,7, C, C,5
884,-536838988, E0007CB4, E,0,0,0,7, C, B,4
886,-536839004, E0007CA4, E,0,0,0,7, C, A,4
888,1610644772, 60007D24,6,0,0,0,7, D,2,4
890,-536838867, E0007D2D, E,0,0,0,7, D,2, D 
892,-1610580685, A0007D33, A,0,0,0,7, D,3,3
894,-1610580680, A0007D38, A,0,0,0,7, D,3,8
896,1073773887, 40007D3F,4,0,0,0,7, D,3, F 
898,1073773892, 40007D44,4,0,0,0,7, D,4,4
900,-536838841, E0007D47, E,0,0,0,7, D,4,7
902,-1073710019, C0007C3D, C,0,0,0,7, C,3, D 
904,-2147451826, 80007C4E,8,0,0,0,7, C,4, E 
906,-1610580895, A0007C61, A,0,0,0,7, C,6,1
908,1610644595, 60007C73,6,0,0,0,7, C,7,3
910,1073773697, 40007C81,4,0,0,0,7, C,8,1
912,1610644620, 60007C8C,6,0,0,0,7, C,8, C 
914,1073773719, 40007C97,4,0,0,0,7, C,9,7
916,-1610581016, A0007BE8, A,0,0,0,7, B, E,8
918,-536839197, E0007BE3, E,0,0,0,7, B, E,3
920,536902625, 20007BE1,2,0,0,0,7, B, E,1
922,1610644448, 60007BE0,6,0,0,0,7, B, E,0
924,-2147451937, 80007BDF,8,0,0,0,7, B, D, F 
926,1610644448, 60007BE0,6,0,0,0,7, B, E,0
928,-536839196, E0007BE4, E,0,0,0,7, B, E,4
930,-1610580865, A0007C7F, A,0,0,0,7, C,7, F 
932,31863, 00007C77,0,0,0,0,7, C,7,7
