
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
595,297,9513.51367,-1750,FFFFF92A,1665.47705
597,298,9545.54589,-1755,FFFFF925,1103.98645
599,299,9577.57714,-1752,FFFFF928,1785.48681
601,300,9609.60937,-1751,FFFFF929,1582.95739
603,301,9641.64160,-1742,FFFFF932,1917.17773
605,302,9673.67382,-1726,FFFFF942,1745.50085
607,303,9705.70605,-1718,FFFFF94A,1659.54101
609,304,9737.73730,-1711,FFFFF951,1731.76745
611,305,9769.76953,-1711,FFFFF951,1675.43176
613,306,9801.80175,-1727,FFFFF941,1529.49182
615,307,9833.83398,-1741,FFFFF933,1882.81103
617,308,9865.86621,-1750,FFFFF92A,1338.97229
619,309,9897.89746,-1752,FFFFF928,1527.55432
621,310,9929.92968,-1746,FFFFF92E,1634.85437
623,311,9961.96191,-1740,FFFFF934,1449.87304
625,312,9993.99414,-1729,FFFFF93F,1299.84948
627,313,10026.02636,-1720,FFFFF948,1475.51123
629,314,10058.05761,-1719,FFFFF949,1242.80786
631,315,10090.08984,-1719,FFFFF949,1469.78076
633,316,10122.12207,-1725,FFFFF943,2166.07812
635,317,10154.15429,-1736,FFFFF938,1038.71533
637,318,10186.18652,-1748,FFFFF92C,1255.74768
639,319,10218.21777,-1761,FFFFF91F,1252.91162
641,320,10250.25000,-1770,FFFFF916,1572.06921
643,321,10282.28222,-1779,FFFFF90D,1972.42370
645,322,10314.31445,-1779,FFFFF90D,1692.89929
647,323,10346.34667,-1761,FFFFF91F,2154.75659
649,324,10378.37792,-1746,FFFFF92E,2030.46704
651,325,10410.41015,-1738,FFFFF936,1913.36779
653,326,10442.44238,-1732,FFFFF93C,1830.69189
655,327,10474.47460,-1731,FFFFF93D,2220.17895
657,328,10506.50683,-1732,FFFFF93C,1075.65600
659,329,10538.53808,-1732,FFFFF93C,1521.30883
661,330,10570.57031,-1735,FFFFF939,697.46136
663,331,10602.60253,-1739,FFFFF935,3023.52807
665,332,10634.63476,-1737,FFFFF937,4156.58447
667,333,10666.66699,-1734,FFFFF93A,86.88497
669,334,10698.69824,-1735,FFFFF939,2477.82666
671,335,10730.73046,-1732,FFFFF93C,436.76132
673,336,10762.76269,-1731,FFFFF93D,4758.21923
675,337,10794.79492,-1739,FFFFF935,4452.65283
677,338,10826.82714,-1744,FFFFF930,741.59387
679,339,10858.85839,-1747,FFFFF92D,1813.34265
681,340,10890.89062,-1742,FFFFF932,2690.39453
683,341,10922.92285,-1738,FFFFF936,1839.27099
685,342,10954.95507,-1754,FFFFF926,912.45159
687,343,10986.98730,-1769,FFFFF917,1065.65429
689,344,11019.01855,-1767,FFFFF919,3804.15429
691,345,11051.05078,-1764,FFFFF91C,5924.76416
693,346,11083.08300,-1754,FFFFF926,2965.99902
695,347,11115.11523,-1734,FFFFF93A,2572.24902
697,348,11147.14746,-1720,FFFFF948,2227.38623
699,349,11179.17871,-1716,FFFFF94C,1368.28442
701,350,11211.21093,-1723,FFFFF945,3490.06982
703,351,11243.24316,-1738,FFFFF936,2662.52783
705,352,11275.27539,-1749,FFFFF92B,1569.13085
707,353,11307.30761,-1757,FFFFF923,1631.35839
709,354,11339.33886,-1765,FFFFF91B,2386.68334
711,355,11371.37109,-1766,FFFFF91A,1520.42431
713,356,11403.40332,-1757,FFFFF923,2202.59033
715,357,11435.43554,-1756,FFFFF924,2382.13696
717,358,11467.46777,-1761,FFFFF91F,1880.74450
719,359,11499.49902,-1758,FFFFF922,1702.10681
721,360,11531.53125,-1753,FFFFF927,1903.83032
723,361,11563.56347,-1739,FFFFF935,2141.07373
725,362,11595.59570,-1728,FFFFF940,2212.48339
727,363,11627.62792,-1736,FFFFF938,1506.74047
729,364,11659.65917,-1745,FFFFF92F,2115.29418
