
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
321,160,5125.12500,-1753,FFFFF927,858.25756
323,161,5157.15722,-1753,FFFFF927,870.69177
325,162,5189.18896,-1752,FFFFF928,889.35162
327,163,5221.22119,-1752,FFFFF928,885.16992
329,164,5253.25341,-1751,FFFFF929,903.00701
331,165,5285.28515,-1750,FFFFF92A,871.73004
333,166,5317.31738,-1749,FFFFF92B,888.53680
335,167,5349.34912,-1749,FFFFF92B,891.36700
337,168,5381.38134,-1748,FFFFF92C,864.65710
339,169,5413.41357,-1748,FFFFF92C,907.30047
341,170,5445.44531,-1748,FFFFF92C,891.60107
343,171,5477.47753,-1747,FFFFF92D,896.49584
345,172,5509.50927,-1746,FFFFF92E,891.67816
347,173,5541.54150,-1746,FFFFF92E,899.56610
349,174,5573.57373,-1746,FFFFF92E,905.82800
351,175,5605.60546,-1745,FFFFF92F,915.81579
353,176,5637.63769,-1744,FFFFF930,893.17303
355,177,5669.66943,-1744,FFFFF930,896.65899
357,178,5701.70166,-1743,FFFFF931,913.36572
359,179,5733.73388,-1743,FFFFF931,898.82281
361,180,5765.76562,-1742,FFFFF932,892.44268
363,181,5797.79785,-1741,FFFFF933,908.42291
365,182,5829.82958,-1741,FFFFF933,887.12121
367,183,5861.86181,-1741,FFFFF933,886.14721
369,184,5893.89404,-1740,FFFFF934,894.49682
371,185,5925.92578,-1739,FFFFF935,902.71881
373,186,5957.95800,-1739,FFFFF935,902.20764
375,187,5989.98974,-1738,FFFFF936,907.77349
377,188,6022.02197,-1738,FFFFF936,898.65509
379,189,6054.05419,-1738,FFFFF936,916.09930
381,190,6086.08593,-1737,FFFFF937,917.91827
383,191,6118.11816,-1736,FFFFF938,905.20812
385,192,6150.15039,-1736,FFFFF938,898.60662
387,193,6182.18212,-1736,FFFFF938,906.43994
389,194,6214.21435,-1735,FFFFF939,916.70825
391,195,6246.24609,-1735,FFFFF939,926.45947
393,196,6278.27832,-1734,FFFFF93A,908.15893
395,197,6310.31054,-1734,FFFFF93A,909.29522
