
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
323,161,5157.15722,-1762,FFFFF91E,1760.02746
325,162,5189.18896,-1762,FFFFF91E,1765.75219
327,163,5221.22119,-1761,FFFFF91F,1748.96179
329,164,5253.25341,-1760,FFFFF920,1748.17907
331,165,5285.28515,-1760,FFFFF920,1752.70031
333,166,5317.31738,-1760,FFFFF920,1766.30480
335,167,5349.34912,-1759,FFFFF921,1770.62402
337,168,5381.38134,-1758,FFFFF922,1780.87597
339,169,5413.41357,-1757,FFFFF923,1750.58557
341,170,5445.44531,-1757,FFFFF923,1735.45251
343,171,5477.47753,-1757,FFFFF923,1735.47387
345,172,5509.50927,-1757,FFFFF923,1770.16967
347,173,5541.54150,-1756,FFFFF924,1750.04858
349,174,5573.57373,-1755,FFFFF925,1779.61901
351,175,5605.60546,-1755,FFFFF925,1737.38220
353,176,5637.63769,-1754,FFFFF926,1743.15783
355,177,5669.66943,-1754,FFFFF926,1730.02807
357,178,5701.70166,-1754,FFFFF926,1731.23107
359,179,5733.73388,-1753,FFFFF927,1749.10986
361,180,5765.76562,-1751,FFFFF929,1756.81896
363,181,5797.79785,-1751,FFFFF929,1779.64514
365,182,5829.82958,-1751,FFFFF929,1733.65698
367,183,5861.86181,-1750,FFFFF92A,1756.05407
369,184,5893.89404,-1749,FFFFF92B,1758.75451
371,185,5925.92578,-1749,FFFFF92B,1759.49523
373,186,5957.95800,-1748,FFFFF92C,1759.09802
375,187,5989.98974,-1747,FFFFF92D,1741.07299
377,188,6022.02197,-1746,FFFFF92E,1725.75317
379,189,6054.05419,-1746,FFFFF92E,1737.36816
381,190,6086.08593,-1745,FFFFF92F,1741.13928
383,191,6118.11816,-1744,FFFFF930,1757.98535
385,192,6150.15039,-1743,FFFFF931,1738.20996
387,193,6182.18212,-1742,FFFFF932,1721.15185
389,194,6214.21435,-1742,FFFFF932,1741.72509
391,195,6246.24609,-1741,FFFFF933,1735.45922
393,196,6278.27832,-1740,FFFFF934,1731.25329
395,197,6310.31054,-1740,FFFFF934,1741.79089
397,198,6342.34228,-1740,FFFFF934,1750.95898
399,199,6374.37451,-1740,FFFFF934,1767.51843
401,200,6406.40625,-1739,FFFFF935,1722.81359
403,201,6438.43847,-1738,FFFFF936,1746.40014
405,202,6470.47070,-1737,FFFFF937,1751.37084
407,203,6502.50244,-1736,FFFFF938,1737.94165
409,204,6534.53466,-1735,FFFFF939,1759.11083
411,205,6566.56640,-1735,FFFFF939,1741.99316
413,206,6598.59863,-1734,FFFFF93A,1733.33813
415,207,6630.63085,-1733,FFFFF93B,1758.29101
