6,FFFFF7C6,,,
221,-119521280,F8E04000,-1824,FFFFF8E0
223,-129351680,F84A4000,-1974,FFFFF84A
225,-138231808,F7C2C000,-2110,FFFFF7C2
227,-145260544,F7578000,-2217,FFFFF757
229,-150274048,F70B0000,-2293,FFFFF70B
231,-153714688,F6D68000,-2346,FFFFF6D6
233,-156254208,F6AFC000,-2385,FFFFF6AF
235,-158269440,F6910000,-2415,FFFFF691
237,-143278080,F775C000,-2187,FFFFF775
239,-137723904,F7CA8000,-2102,FFFFF7CA
241,-132349952,F81C8000,-2020,FFFFF81C
243,-125599744,F8838000,-1917,FFFFF883
245,-117161984,F9044000,-1788,FFFFF904
247,-107462656,F9984000,-1640,FFFFF998
249,-98189312,FA25C000,-1499,FFFFFA25
251,-90505216,FA9B0000,-1381,FFFFFA9B
253,-84344832,FAF90000,-1287,FFFFFAF9
255,-79380480,FB44C000,-1212,FFFFFB44
257,-71106560,FBC30000,-1085,FFFFFBC3
259,-75513856,FB7FC000,-1153,FFFFFB7F
261,-81231872,FB288000,-1240,FFFFFB28
263,-87408640,FACA4000,-1334,FFFFFACA
265,-93765632,FA694000,-1431,FFFFFA69
267,-100777984,F9FE4000,-1538,FFFFF9FE
269,-109182976,F97E0000,-1666,FFFFF97E
271,-118784000,F8EB8000,-1813,FFFFF8EB
273,-128598016,F855C000,-1963,FFFFF855
275,-155303936,F6BE4000,-2370,FFFFF6BE
277,-157777920,F6988000,-2408,FFFFF698
279,-159318016,F6810000,-2431,FFFFF681
281,-158629888,F68B8000,-2421,FFFFF68B
283,-155140096,F6C0C000,-2368,FFFFF6C0
285,-149684224,F7140000,-2284,FFFFF714
287,-143605760,F770C000,-2192,FFFFF770
289,-137953280,F7C70000,-2105,FFFFF7C7
291,-132513792,F81A0000,-2022,FFFFF81A
293,-93978624,FA660000,-1434,FFFFFA66
295,-87113728,FACEC000,-1330,FFFFFACE
297,-81608704,FB22C000,-1246,FFFFFB22
299,-76840960,FB6B8000,-1173,FFFFFB6B
301,-72777728,FBA98000,-1111,FFFFFBA9
303,-69992448,FBD40000,-1068,FFFFFBD4
305,-69320704,FBDE4000,-1058,FFFFFBDE
307,-71254016,FBC0C000,-1088,FFFFFBC0
309,-75644928,FB7DC000,-1155,FFFFFB7D
311,-81477632,FB24C000,-1244,FFFFFB24
313,-114606080,F92B4000,-1749,FFFFF92B
315,-124387328,F8960000,-1898,FFFFF896
317,-133922816,F8048000,-2044,FFFFF804
319,-142016512,F7890000,-2167,FFFFF789
321,-147898368,F72F4000,-2257,FFFFF72F
323,-152141824,F6EE8000,-2322,FFFFF6EE
325,-155107328,F6C14000,-2367,FFFFF6C1
327,-157401088,F69E4000,-2402,FFFFF69E
329,-158924800,F6870000,-2425,FFFFF687
331,-140361728,F7A24000,-2142,FFFFF7A2
333,-134889472,F7F5C000,-2059,FFFFF7F5
335,-128729088,F853C000,-1965,FFFFF853
337,-120979456,F8CA0000,-1846,FFFFF8CA
339,-111853568,F9554000,-1707,FFFFF955
341,-102334464,F9E68000,-1562,FFFFF9E6
343,-93716480,FA6A0000,-1430,FFFFFA6A
345,-86851584,FAD2C000,-1326,FFFFFAD2
347,-81281024,FB27C000,-1241,FFFFFB27
349,-69730304,FBD80000,-1064,FFFFFBD8
351,-73121792,FBA44000,-1116,FFFFFBA4
353,-78446592,FB530000,-1197,FFFFFB53
355,-84590592,FAF54000,-1291,FFFFFAF5
357,-90898432,FA950000,-1387,FFFFFA95
359,-97533952,FA2FC000,-1489,FFFFFA2F
361,-105283584,F9B98000,-1607,FFFFF9B9
363,-114409472,F92E4000,-1746,FFFFF92E
365,-124338176,F896C000,-1898,FFFFF896
367,-133955584,F8040000,-2044,FFFFF804
369,-156811264,F6A74000,-2393,FFFFF6A7
371,-158777344,F6894000,-2423,FFFFF689
373,-159301632,F6814000,-2431,FFFFF681
375,-157237248,F6A0C000,-2400,FFFFF6A0
377,-152600576,F6E78000,-2329,FFFFF6E7
379,-146653184,F7424000,-2238,FFFFF742
381,-140722176,F79CC000,-2148,FFFFF79C
383,-135200768,F7F10000,-2063,FFFFF7F1
385,-129335296,F84A8000,-1974,FFFFF84A
387,-90161152,FAA04000,-1376,FFFFFAA0
389,-84033536,FAFDC000,-1283,FFFFFAFD
391,-79052800,FB49C000,-1207,FFFFFB49
393,-74530816,FB8EC000,-1138,FFFFFB8E
395,-70959104,FBC54000,-1083,FFFFFBC5
397,-69353472,FBDDC000,-1059,FFFFFBDD
399,-70074368,FBD2C000,-1070,FFFFFBD2
401,-73269248,FBA20000,-1118,FFFFFBA2
403,-78462976,FB52C000,-1198,FFFFFB52
405,-84508672,FAF68000,-1290,FFFFFAF6
407,-119259136,F8E44000,-1820,FFFFF8E4
409,-129253376,F84BC000,-1973,FFFFF84B
411,-138362880,F7C0C000,-2112,FFFFF7C0
413,-145555456,F7530000,-2221,FFFFF753
415,-150667264,F7050000,-2299,FFFFF705
417,-153976832,F6D28000,-2350,FFFFF6D2
419,-156450816,F6ACC000,-2388,FFFFF6AC
421,-158498816,F68D8000,-2419,FFFFF68D
423,-159170560,F6834000,-2429,FFFFF683
425,-137674752,F7CB4000,-2101,FFFFF7CB
427,-132169728,F81F4000,-2017,FFFFF81F
429,-125616128,F8834000,-1917,FFFFF883
431,-117063680,F905C000,-1787,FFFFF905
433,-107577344,F9968000,-1642,FFFFF996
435,-98402304,FA228000,-1502,FFFFFA22
437,-90456064,FA9BC000,-1381,FFFFFA9B
439,-84328448,FAF94000,-1287,FFFFFAF9
441,-79380480,FB44C000,-1212,FFFFFB44
443,-71335936,FBBF8000,-1089,FFFFFBBF
445,-75710464,FB7CC000,-1156,FFFFFB7C
447,-81412096,FB25C000,-1243,FFFFFB25
449,-87638016,FAC6C000,-1338,FFFFFAC6
451,-93913088,FA670000,-1433,FFFFFA67
453,-100859904,F9FD0000,-1539,FFFFF9FD
455,-109150208,F97E8000,-1666,FFFFF97E
457,-118587392,F8EE8000,-1810,FFFFF8EE
459,-128532480,F856C000,-1962,FFFFF856
461,-137592832,F7CC8000,-2100,FFFFF7CC
463,-157089792,F6A30000,-2397,FFFFF6A3
465,-158629888,F68B8000,-2421,FFFFF68B
467,-158203904,F6920000,-2414,FFFFF692
469,-155009024,F6C2C000,-2366,FFFFF6C2
471,-149749760,F7130000,-2285,FFFFF713
473,-143687680,F76F8000,-2193,FFFFF76F
475,-137871360,F7C84000,-2104,FFFFF7C8
477,-132399104,F81BC000,-2021,FFFFF81B
479,-125976576,F87DC000,-1923,FFFFF87D
481,-87048192,FACFC000,-1329,FFFFFACF
483,-81494016,FB248000,-1244,FFFFFB24
485,-76873728,FB6B0000,-1173,FFFFFB6B
487,-72957952,FBA6C000,-1114,FFFFFBA6
489,-69877760,FBD5C000,-1067,FFFFFBD5
491,-69042176,FBE28000,-1054,FFFFFBE2
493,-70959104,FBC54000,-1083,FFFFFBC5
495,-75137024,FB858000,-1147,FFFFFB85
497,-80822272,FB2EC000,-1234,FFFFFB2E
499,-86999040,FAD08000,-1328,FFFFFAD0
501,-123273216,F8A70000,-1881,FFFFF8A7
503,-132956160,F8134000,-2029,FFFFF813
505,-141230080,F7950000,-2155,FFFFF795
507,-147308544,F7384000,-2248,FFFFF738
509,-151519232,F6F80000,-2312,FFFFF6F8
511,-154517504,F6CA4000,-2358,FFFFF6CA
513,-156909568,F6A5C000,-2395,FFFFF6A5
515,-158679040,F68AC000,-2422,FFFFF68A
517,-158253056,F6914000,-2415,FFFFF691
519,-135593984,F7EB0000,-2069,FFFFF7EB
521,-129695744,F8450000,-1979,FFFFF845
523,-122208256,F8B74000,-1865,FFFFF8B7
525,-113213440,F9408000,-1728,FFFFF940
527,-103661568,F9D24000,-1582,FFFFF9D2
529,-94863360,FA588000,-1448,FFFFFA58
531,-87654400,FAC68000,-1338,FFFFFAC6
533,-82100224,FB1B4000,-1253,FFFFFB1B
535,-77348864,FB63C000,-1181,FFFFFB63
537,-72810496,FBA90000,-1111,FFFFFBA9
539,-78053376,FB590000,-1191,FFFFFB59
